20201221085236,34.676278333333336,135.81993166666666
,adress,rssi,uuid
0,00:a0:50:53:1a:d2,-71,null
1,54:ba:d5:e7:41:92,-61,null
2,16:ec:ed:0b:65:53,-89,0000fd6f-0000-1000-8000-00805f9b34fb
3,46:73:73:00:86:30,-71,null
4,5d:57:5e:85:3d:33,-88,null
5,75:19:51:4a:e4:92,-88,null
6,50:8b:84:d6:25:09,-90,null
7,67:12:46:e7:d4:4c,-87,null
8,4a:ea:30:7e:3b:03,-50,null
9,38:ea:ae:05:ff:ac,-49,0000fd6f-0000-1000-8000-00805f9b34fb
10,6e:7d:65:36:ce:39,-89,null
11,0d:62:26:dd:c0:53,-92,null
12,a4:c1:b5:00:04:24,-93,null
13,70:22:1a:2e:54:fe,-86,null
14,5f:72:a4:ee:42:09,-34,null
15,70:f9:95:15:40:98,-92,null
16,79:d3:b2:3f:b9:b7,-92,null
17,65:55:a2:60:49:2f,-81,null
18,d7:4e:dd:d7:1d:1c,-92,null
19,1f:81:35:6e:6f:22,-91,null
20,4c:e6:93:61:21:e8,-90,null
21,1a:6d:a8:30:c6:b9,-91,0000fd6f-0000-1000-8000-00805f9b34fb
22,e0:7f:b4:6c:c4:70,-34,null
23,78:2f:31:f6:1f:c3,-83,null
