20201221182818,34.707555,135.75025
,adress,rssi,uuid
0,67:1f:32:56:10:ef,-62,null
1,20:a6:17:ad:97:1b,-66,0000fd6f-0000-1000-8000-00805f9b34fb
2,00:a0:50:ed:42:ec,-81,null
3,51:10:eb:af:df:66,-66,null
4,0b:83:b1:80:f9:7a,-61,null
5,10:7e:b2:9a:78:fb,-51,null
6,65:21:d4:c0:5b:d6,-70,null
7,7f:fd:51:24:ff:8a,-65,null
8,49:35:3d:b7:52:9b,-72,null
9,02:02:c3:dc:bf:61,-75,0000fd6f-0000-1000-8000-00805f9b34fb
10,53:c4:c7:d7:cc:49,-61,null
11,7c:b5:11:ad:ef:20,-86,null
12,18:73:1d:6d:87:c2,-56,0000fd6f-0000-1000-8000-00805f9b34fb
13,37:e0:70:2d:9e:30,-70,0000fd6f-0000-1000-8000-00805f9b34fb
14,56:cc:8b:90:8c:02,-70,null
15,47:d7:aa:8a:6e:13,-66,null
16,6e:1f:2e:82:15:30,-57,null
17,6b:5f:1f:13:97:44,-55,null
18,77:45:99:12:8c:46,-72,null
19,5f:2b:28:99:d7:8d,-85,null
20,69:1e:88:6c:65:3c,-82,0000fd6f-0000-1000-8000-00805f9b34fb
21,6b:9a:95:22:da:35,-61,null
22,0f:af:cc:59:5f:07,-93,0000fd6f-0000-1000-8000-00805f9b34fb
23,da:7f:0d:9f:06:bb,-61,null
